"indicador","cenario","item","regiao","familia","ano","medida","valor"
"cons","BAU","a_arroz","SC","F9",2030,"Csuper",0.0426052173438228
"cons","BAU","a_arroz","SC","F9",2035,"Csuper",0.0467484348505596
"cons","BAU","a_arroz","SC","F9",2040,"Csuper",0.0512706853547809
"cons","BAU","a_arroz","SC","F9",2045,"Csuper",0.0562459157949441
"cons","BAU","a_arroz","SC","F9",2050,"Csuper",0.0615683238260799
"cons","BAU","a_arroz","SC","F9",2019,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2025,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2030,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2035,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2040,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2045,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2050,"Cshift",3.2606229836154
"cons","BAU","a_arroz","SC","F9",2019,"tot_$",3.293558567542
"cons","BAU","a_arroz","SC","F9",2025,"tot_$",3.29882244542821
"cons","BAU","a_arroz","SC","F9",2030,"tot_$",3.30322820095922
"cons","BAU","a_arroz","SC","F9",2035,"tot_$",3.30737141846596
"cons","BAU","a_arroz","SC","F9",2040,"tot_$",3.31189366897018
"cons","BAU","a_arroz","SC","F9",2045,"tot_$",3.31686889941034
"cons","BAU","a_arroz","SC","F9",2050,"tot_$",3.32219130744148
"cons","BAU","a_arroz","SC","F10",2019,"ch_%",-5.58888713086958e-08
"cons","BAU","a_arroz","SC","F10",2025,"ch_%",0.161003994448805
"cons","BAU","a_arroz","SC","F10",2030,"ch_%",0.295750203215617
"cons","BAU","a_arroz","SC","F10",2035,"ch_%",0.422625401826116
"cons","BAU","a_arroz","SC","F10",2040,"ch_%",0.561103870873692
"cons","BAU","a_arroz","SC","F10",2045,"ch_%",0.713445702978421
"cons","BAU","a_arroz","SC","F10",2050,"ch_%",0.87642912834327
"cons","BAU","a_arroz","SC","F10",2019,"Csuper",0.0493324791892984
"cons","BAU","a_arroz","SC","F10",2025,"Csuper",0.0572752085958855
"cons","BAU","a_arroz","SC","F10",2030,"Csuper",0.063922573507224
"cons","BAU","a_arroz","SC","F10",2035,"Csuper",0.0701816419521269
"cons","BAU","a_arroz","SC","F10",2040,"Csuper",0.0770131285263872
"cons","BAU","a_arroz","SC","F10",2045,"Csuper",0.0845285292083796
"cons","BAU","a_arroz","SC","F10",2050,"Csuper",0.0925689060977599
"cons","BAU","a_arroz","SC","F10",2019,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2025,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2030,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2035,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2040,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2045,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2050,"Cshift",4.88391571269707
"cons","BAU","a_arroz","SC","F10",2019,"tot_$",4.93324819188637
"cons","BAU","a_arroz","SC","F10",2025,"tot_$",4.94119092129296
"cons","BAU","a_arroz","SC","F10",2030,"tot_$",4.9478382862043
"cons","BAU","a_arroz","SC","F10",2035,"tot_$",4.9540973546492
"cons","BAU","a_arroz","SC","F10",2040,"tot_$",4.96092884122346
"cons","BAU","a_arroz","SC","F10",2045,"tot_$",4.96844424190545
"cons","BAU","a_arroz","SC","F10",2050,"tot_$",4.97648461879483
"cons","BAU","a_arroz","SC","F11",2019,"ch_%",-6.13489037348813e-08
"cons","BAU","a_arroz","SC","F11",2025,"ch_%",0.205023490181699
"cons","BAU","a_arroz","SC","F11",2030,"ch_%",0.375685126431402
"cons","BAU","a_arroz","SC","F11",2035,"ch_%",0.537897805923837
"cons","BAU","a_arroz","SC","F11",2040,"ch_%",0.715219106958753
"cons","BAU","a_arroz","SC","F11",2045,"ch_%",0.910329735685367
"cons","BAU","a_arroz","SC","F11",2050,"ch_%",1.11988601515258
"cons","BAU","a_arroz","SC","F11",2019,"Csuper",0.0512136098432636
"cons","BAU","a_arroz","SC","F11",2025,"Csuper",0.0617136066641956
"cons","BAU","a_arroz","SC","F11",2030,"Csuper",0.0704538056545032
"cons","BAU","a_arroz","SC","F11",2035,"Csuper",0.0787613030433149
"cons","BAU","a_arroz","SC","F11",2040,"Csuper",0.087842567528543
"cons","BAU","a_arroz","SC","F11",2045,"Csuper",0.0978348877574392
"cons","BAU","a_arroz","SC","F11",2050,"Csuper",0.108567021952684
"cons","BAU","a_arroz","SC","F11",2019,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2025,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2030,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2035,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2040,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2045,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2050,"Cshift",5.07014768553113
"cons","BAU","a_arroz","SC","F11",2019,"tot_$",5.12136129537439
"cons","BAU","a_arroz","SC","F11",2025,"tot_$",5.13186129219532
"cons","BAU","a_arroz","SC","F11",2030,"tot_$",5.14060149118563
"cons","BAU","a_arroz","SC","F11",2035,"tot_$",5.14890898857444
"cons","BAU","a_arroz","SC","F11",2040,"tot_$",5.15799025305967
"cons","BAU","a_arroz","SC","F11",2045,"tot_$",5.16798257328857
"cons","BAU","a_arroz","SC","F11",2050,"tot_$",5.17871470748381
"cons","BAU","a_milho","SC","F4",2019,"ch_%",-2.42005994133265e-06
"cons","BAU","a_milho","SC","F4",2025,"ch_%",2.0385427276145
"cons","BAU","a_milho","SC","F4",2030,"ch_%",3.80702371407446
"cons","BAU","a_milho","SC","F4",2035,"ch_%",5.3709588309629
"cons","BAU","a_milho","SC","F4",2040,"ch_%",7.07470000284156
"cons","BAU","a_milho","SC","F4",2045,"ch_%",8.95328585907249
"cons","BAU","a_milho","SC","F4",2050,"ch_%",10.9423128445425
"cons","BAU","a_milho","SC","F4",2019,"Csuper",12.0056906208252
"cons","BAU","a_milho","SC","F4",2025,"Csuper",12.4790783095136
"cons","BAU","a_milho","SC","F4",2030,"Csuper",12.8897521312951
"cons","BAU","a_milho","SC","F4",2035,"Csuper",13.2529266389026
"cons","BAU","a_milho","SC","F4",2040,"Csuper",13.6485666846475
"cons","BAU","a_milho","SC","F4",2045,"Csuper",14.0848088829125
"cons","BAU","a_milho","SC","F4",2050,"Csuper",14.5466975432959
"cons","BAU","a_milho","SC","F4",2019,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2025,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2030,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2035,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2040,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2045,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2050,"Cshift",11.2161486291994
"cons","BAU","a_milho","SC","F4",2019,"tot_$",23.2218392500245
"cons","BAU","a_milho","SC","F4",2025,"tot_$",23.6952269387129
"cons","BAU","a_milho","SC","F4",2030,"tot_$",24.1059007604944
"cons","BAU","a_milho","SC","F4",2035,"tot_$",24.469075268102
"cons","BAU","a_milho","SC","F4",2040,"tot_$",24.8647153138469
"cons","BAU","a_milho","SC","F4",2045,"tot_$",25.3009575121118
"cons","BAU","a_milho","SC","F4",2050,"tot_$",25.7628461724953
"cons","BAU","a_milho","SC","F5",2019,"ch_%",-2.64014817785707e-06
"cons","BAU","a_milho","SC","F5",2025,"ch_%",4.25793424920315
"cons","BAU","a_milho","SC","F5",2030,"ch_%",7.88035175133215
"cons","BAU","a_milho","SC","F5",2035,"ch_%",11.2537522962206
"cons","BAU","a_milho","SC","F5",2040,"ch_%",14.9248103322738
"cons","BAU","a_milho","SC","F5",2045,"ch_%",18.9623306890738
"cons","BAU","a_milho","SC","F5",2050,"ch_%",23.2587885199207
"cons","BAU","a_milho","SC","F5",2019,"Csuper",12.0098903367168
"cons","BAU","a_milho","SC","F5",2025,"Csuper",12.7906133468389
"cons","BAU","a_milho","SC","F5",2030,"Csuper",13.4548093576473
"cons","BAU","a_milho","SC","F5",2035,"Csuper",14.0733463383948
"cons","BAU","a_milho","SC","F5",2040,"Csuper",14.7464609370183
"cons","BAU","a_milho","SC","F5",2045,"Csuper",15.4867690083459
"cons","BAU","a_milho","SC","F5",2050,"Csuper",16.2745551070431
"cons","BAU","a_milho","SC","F5",2019,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2025,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2030,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2035,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2040,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2045,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2050,"Cshift",6.32582035599746
"cons","BAU","a_milho","SC","F5",2019,"tot_$",18.3357106927143
"cons","BAU","a_milho","SC","F5",2025,"tot_$",19.1164337028363
"cons","BAU","a_milho","SC","F5",2030,"tot_$",19.7806297136447
"cons","BAU","a_milho","SC","F5",2035,"tot_$",20.3991666943922
"cons","BAU","a_milho","SC","F5",2040,"tot_$",21.0722812930158
"cons","BAU","a_milho","SC","F5",2045,"tot_$",21.8125893643433
"cons","BAU","a_milho","SC","F5",2050,"tot_$",22.6003754630406
"cons","BAU","a_milho","SC","F6",2019,"ch_%",-2.86704615604094e-06
"cons","BAU","a_milho","SC","F6",2025,"ch_%",3.86530465094399
"cons","BAU","a_milho","SC","F6",2030,"ch_%",7.1612737281491
"cons","BAU","a_milho","SC","F6",2035,"ch_%",10.2313520637522
"cons","BAU","a_milho","SC","F6",2040,"ch_%",13.5724890423924
"cons","BAU","a_milho","SC","F6",2045,"ch_%",17.2476630251887
"cons","BAU","a_milho","SC","F6",2050,"ch_%",21.1576759033169
"cons","BAU","a_milho","SC","F6",2019,"Csuper",11.1800797608063
"cons","BAU","a_milho","SC","F6",2025,"Csuper",11.8398423293978
"cons","BAU","a_milho","SC","F6",2030,"Csuper",12.402425516959
"cons","BAU","a_milho","SC","F6",2035,"Csuper",12.9264518095754
"cons","BAU","a_milho","SC","F6",2040,"Csuper",13.4967446271026
"cons","BAU","a_milho","SC","F6",2045,"Csuper",14.1240536356679
"cons","BAU","a_milho","SC","F6",2050,"Csuper",14.7914468838618
"cons","BAU","a_milho","SC","F6",2019,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2025,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2030,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2035,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2040,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2045,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2050,"Cshift",5.88874455925374
"cons","BAU","a_milho","SC","F6",2019,"tot_$",17.06882432006
"cons","BAU","a_milho","SC","F6",2025,"tot_$",17.7285868886515
"cons","BAU","a_milho","SC","F6",2030,"tot_$",18.2911700762127
"cons","BAU","a_milho","SC","F6",2035,"tot_$",18.8151963688291
"cons","BAU","a_milho","SC","F6",2040,"tot_$",19.3854891863563
"cons","BAU","a_milho","SC","F6",2045,"tot_$",20.0127981949216
"cons","BAU","a_milho","SC","F6",2050,"tot_$",20.6801914431155
"cons","BAU","a_milho","SC","F7",2019,"ch_%",-2.64836986785255e-06
"cons","BAU","a_milho","SC","F7",2025,"ch_%",6.86745065765115
"cons","BAU","a_milho","SC","F7",2030,"ch_%",12.6457865502689
"cons","BAU","a_milho","SC","F7",2035,"ch_%",18.0301431753226
"cons","BAU","a_milho","SC","F7",2040,"ch_%",23.8830093233165
"cons","BAU","a_milho","SC","F7",2045,"ch_%",30.3131415710946
"cons","BAU","a_milho","SC","F7",2050,"ch_%",37.1602409162583
"cons","BAU","a_milho","SC","F7",2019,"Csuper",17.7086963699924
"cons","BAU","a_milho","SC","F7",2025,"Csuper",19.5653933218802
"cons","BAU","a_milho","SC","F7",2030,"Csuper",21.1276345430037
"cons","BAU","a_milho","SC","F7",2035,"Csuper",22.583358825082
"cons","BAU","a_milho","SC","F7",2040,"Csuper",24.1657501792773
"cons","BAU","a_milho","SC","F7",2045,"Csuper",25.9042122281153
"cons","BAU","a_milho","SC","F7",2050,"Csuper",27.7554062467614
"cons","BAU","a_milho","SC","F7",2019,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2025,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2030,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2035,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2040,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2045,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2050,"Cshift",9.32748167125742
"cons","BAU","a_milho","SC","F7",2019,"tot_$",27.0361780412499
"cons","BAU","a_milho","SC","F7",2025,"tot_$",28.8928749931376
"cons","BAU","a_milho","SC","F7",2030,"tot_$",30.4551162142611
"cons","BAU","a_milho","SC","F7",2035,"tot_$",31.9108404963394
"cons","BAU","a_milho","SC","F7",2040,"tot_$",33.4932318505347
"cons","BAU","a_milho","SC","F7",2045,"tot_$",35.2316938993727
"cons","BAU","a_milho","SC","F7",2050,"tot_$",37.0828879180189
"cons","BAU","a_milho","SC","F8",2019,"ch_%",-2.88485957344875e-06
"cons","BAU","a_milho","SC","F8",2025,"ch_%",9.38549509796525
"cons","BAU","a_milho","SC","F8",2030,"ch_%",17.2440810222523
"cons","BAU","a_milho","SC","F8",2035,"ch_%",24.6037419079952
"cons","BAU","a_milho","SC","F8",2040,"ch_%",32.6101407219378
"cons","BAU","a_milho","SC","F8",2045,"ch_%",41.4065850425652
"cons","BAU","a_milho","SC","F8",2050,"ch_%",50.7937892060816
"cons","BAU","a_milho","SC","F8",2019,"Csuper",9.28041479625255
"cons","BAU","a_milho","SC","F8",2025,"Csuper",10.6102059136001
"cons","BAU","a_milho","SC","F8",2030,"Csuper",11.7236553838524
"cons","BAU","a_milho","SC","F8",2035,"Csuper",12.7664142966411
"cons","BAU","a_milho","SC","F8",2040,"Csuper",13.9008067438193
"cons","BAU","a_milho","SC","F8",2045,"Csuper",15.1471373640186
"cons","BAU","a_milho","SC","F8",2050,"Csuper",16.4771702228201
"cons","BAU","a_milho","SC","F8",2019,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2025,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2030,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2035,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2040,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2045,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2050,"Cshift",4.88815762705895
"cons","BAU","a_milho","SC","F8",2019,"tot_$",14.1685724233115
"cons","BAU","a_milho","SC","F8",2025,"tot_$",15.4983635406591
"cons","BAU","a_milho","SC","F8",2030,"tot_$",16.6118130109113
"cons","BAU","a_milho","SC","F8",2035,"tot_$",17.6545719237001
"cons","BAU","a_milho","SC","F8",2040,"tot_$",18.7889643708783
"cons","BAU","a_milho","SC","F8",2045,"tot_$",20.0352949910776
"cons","BAU","a_milho","SC","F8",2050,"tot_$",21.3653278498791
"cons","BAU","a_milho","SC","F9",2019,"ch_%",-4.48993040524925e-06
"cons","BAU","a_milho","SC","F9",2025,"ch_%",14.9753252196759
"cons","BAU","a_milho","SC","F9",2030,"ch_%",27.5038390496155
"cons","BAU","a_milho","SC","F9",2035,"ch_%",39.266259524202
"cons","BAU","a_milho","SC","F9",2040,"ch_%",52.0793681188026
"cons","BAU","a_milho","SC","F9",2045,"ch_%",66.1639653881574
"cons","BAU","a_milho","SC","F9",2050,"ch_%",81.2234632420851
"cons","BAU","a_milho","SC","F9",2019,"Csuper",17.6279902349325
"cons","BAU","a_milho","SC","F9",2025,"Csuper",20.5289240691174
"cons","BAU","a_milho","SC","F9",2030,"Csuper",22.955874952076
"cons","BAU","a_milho","SC","F9",2035,"Csuper",25.234422682798
"cons","BAU","a_milho","SC","F9",2040,"Csuper",27.7165036094916
"cons","BAU","a_milho","SC","F9",2045,"Csuper",30.4448899323203
